planner_name iteration planning_time_elapsed cost_solution_total cost_solution_revolute cost_solution_prismatic theoretical_cost_total theoretical_cost_revolute theoretical_cost_prismatic
bi_rrt_star 1 0.727203 10000 10000 10000 0 0 0
bi_rrt_star 2 1.43716 10000 10000 10000 0 0 0
bi_rrt_star 3 2.14833 10000 10000 10000 0 0 0
bi_rrt_star 4 2.86306 10000 10000 10000 0 0 0
bi_rrt_star 5 3.58159 10000 10000 10000 0 0 0
bi_rrt_star 6 4.29286 10000 10000 10000 0 0 0
bi_rrt_star 7 5.00922 10000 10000 10000 0 0 0
bi_rrt_star 8 5.7427 10000 10000 10000 0 0 0
bi_rrt_star 9 6.48843 10000 10000 10000 0 0 0
bi_rrt_star 10 7.20575 10000 10000 10000 0 0 0
bi_rrt_star 11 7.89397 10000 10000 10000 0 0 0
bi_rrt_star 12 8.62406 10000 10000 10000 0 0 0
bi_rrt_star 13 9.33268 10000 10000 10000 0 0 0
bi_rrt_star 14 10.0474 10000 10000 10000 0 0 0
bi_rrt_star 15 10.7629 10000 10000 10000 0 0 0
bi_rrt_star 16 11.4737 10000 10000 10000 0 0 0
bi_rrt_star 17 12.1839 10000 10000 10000 0 0 0
bi_rrt_star 18 12.9048 10000 10000 10000 0 0 0
bi_rrt_star 19 13.6217 10000 10000 10000 0 0 0
bi_rrt_star 20 14.303 10000 10000 10000 0 0 0
bi_rrt_star 21 15.0306 10000 10000 10000 0 0 0
bi_rrt_star 22 15.7591 10000 10000 10000 0 0 0
bi_rrt_star 23 16.4746 10000 10000 10000 0 0 0
bi_rrt_star 24 17.1941 10000 10000 10000 0 0 0
bi_rrt_star 25 17.9056 10000 10000 10000 0 0 0
bi_rrt_star 26 18.6126 10000 10000 10000 0 0 0
bi_rrt_star 27 19.3229 10000 10000 10000 0 0 0
bi_rrt_star 28 20.0386 10000 10000 10000 0 0 0
bi_rrt_star 29 20.7476 10000 10000 10000 0 0 0
bi_rrt_star 30 21.457 10000 10000 10000 0 0 0
bi_rrt_star 31 22.1632 10000 10000 10000 0 0 0
bi_rrt_star 32 22.8809 10000 10000 10000 0 0 0
bi_rrt_star 33 23.5998 10000 10000 10000 0 0 0
bi_rrt_star 34 24.3175 10000 10000 10000 0 0 0
bi_rrt_star 35 25.0485 10000 10000 10000 0 0 0
bi_rrt_star 36 25.7686 10000 10000 10000 0 0 0
bi_rrt_star 37 26.5032 10000 10000 10000 0 0 0
bi_rrt_star 38 27.227 10000 10000 10000 0 0 0
bi_rrt_star 39 27.9411 10000 10000 10000 0 0 0
bi_rrt_star 40 28.6823 10000 10000 10000 0 0 0
bi_rrt_star 41 29.4127 10000 10000 10000 0 0 0
bi_rrt_star 42 30.1279 10000 10000 10000 0 0 0
bi_rrt_star 43 30.8503 10000 10000 10000 0 0 0
bi_rrt_star 44 31.5711 10000 10000 10000 0 0 0
bi_rrt_star 45 32.3239 10000 10000 10000 0 0 0
bi_rrt_star 46 33.044 10000 10000 10000 0 0 0
bi_rrt_star 47 33.7651 10000 10000 10000 0 0 0
bi_rrt_star 48 34.4734 10000 10000 10000 0 0 0
bi_rrt_star 49 35.1784 10000 10000 10000 0 0 0
bi_rrt_star 50 35.9155 10000 10000 10000 0 0 0
bi_rrt_star 51 36.6914 10000 10000 10000 0 0 0
bi_rrt_star 52 37.4162 10000 10000 10000 0 0 0
bi_rrt_star 53 38.1707 10000 10000 10000 0 0 0
bi_rrt_star 54 38.944 10000 10000 10000 0 0 0
bi_rrt_star 55 39.6568 10000 10000 10000 0 0 0
bi_rrt_star 56 40.3726 10000 10000 10000 0 0 0
bi_rrt_star 57 41.0777 10000 10000 10000 0 0 0
bi_rrt_star 58 41.7868 10000 10000 10000 0 0 0
bi_rrt_star 59 42.6208 10000 10000 10000 0 0 0
bi_rrt_star 60 43.3551 10000 10000 10000 0 0 0
bi_rrt_star 61 44.0906 10000 10000 10000 0 0 0
bi_rrt_star 62 44.8024 10000 10000 10000 0 0 0
bi_rrt_star 63 45.519 10000 10000 10000 0 0 0
bi_rrt_star 64 46.2132 10000 10000 10000 0 0 0
bi_rrt_star 65 46.9364 10000 10000 10000 0 0 0
bi_rrt_star 66 47.6606 10000 10000 10000 0 0 0
bi_rrt_star 67 48.3838 10000 10000 10000 0 0 0
bi_rrt_star 68 49.1128 10000 10000 10000 0 0 0
bi_rrt_star 69 49.82 10000 10000 10000 0 0 0
bi_rrt_star 70 50.5385 10000 10000 10000 0 0 0
