planner_name iteration planning_time_elapsed cost_solution_total cost_solution_revolute cost_solution_prismatic theoretical_cost_total theoretical_cost_revolute theoretical_cost_prismatic
bi_rrt_star 80 149.786 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 81 152.359 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 82 152.994 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 83 155.525 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 84 156.828 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 85 159.881 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 86 163.687 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 87 165.35 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 88 168.475 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 89 171.326 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 90 172.254 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 91 173.936 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 92 176.61 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 93 178.966 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 94 179.747 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 95 182.18 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 96 182.798 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 97 184.855 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 98 186.545 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 99 188.227 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 100 190.599 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 101 190.798 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 102 191.823 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 103 193.679 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 104 196.273 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 105 198.86 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 106 199.296 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 107 201.132 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 108 202.735 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 109 205.494 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 110 208.54 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 111 210.771 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 112 212.338 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 113 214.35 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 114 217.804 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 115 219.894 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 116 223.106 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 117 225.459 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 118 229.17 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 119 231.596 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 120 235.135 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 121 236.256 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 122 239.286 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 123 239.822 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 124 243.402 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 125 246.8 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 126 250.164 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 127 251.056 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 128 253.07 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 129 253.699 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 130 254.605 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 131 255.788 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 132 256.553 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 133 258.039 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 134 261.8 7.92783 7.92783 0 5.17397 5.17397 0
