planner_name iteration planning_time_elapsed cost_solution_total cost_solution_revolute cost_solution_prismatic theoretical_cost_total theoretical_cost_revolute theoretical_cost_prismatic
bi_rrt_star 1 0.616325 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 2 1.22949 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 3 1.85811 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 4 1.90726 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 5 2.24689 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 6 2.5792 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 7 3.19168 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 8 3.8101 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 9 4.41895 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 10 5.03984 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 11 5.64692 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 12 6.25934 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 13 6.8748 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 14 7.48966 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 15 8.11162 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 16 8.16182 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 17 8.78066 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 18 9.39431 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 19 10.0082 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 20 10.6284 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 21 11.0111 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 22 11.6255 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 23 12.2475 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 24 12.6325 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 25 12.9612 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 26 13.1677 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 27 13.7756 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 28 14.1036 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 29 14.7216 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 30 15.3393 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 31 15.952 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 32 16.5698 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 33 16.8909 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 34 17.2263 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 35 17.555 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 36 18.1661 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 37 18.2281 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 38 18.8439 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 39 19.4757 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 40 19.5085 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 41 20.1298 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 42 20.2929 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 43 20.7651 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 44 21.3907 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 45 22.0014 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 46 22.6261 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 47 22.944 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 48 23.2622 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 49 23.6574 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 50 24.2822 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 51 24.8988 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 52 25.5128 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 53 26.1202 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 54 26.7222 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 55 27.0549 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 56 27.668 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 57 28.2846 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 58 28.9856 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 59 29.3282 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 60 29.94 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 61 30.4133 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 62 31.033 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 63 31.3918 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 64 32.0104 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 65 32.6351 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 66 33.1805 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 67 33.8054 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 68 34.4234 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 69 35.0363 10000 10000 10000 0.632456 0.6245 0.1
bi_rrt_star 70 35.6643 10000 10000 10000 0.632456 0.6245 0.1
