planner_name iteration planning_time_elapsed cost_solution_total cost_solution_revolute cost_solution_prismatic theoretical_cost_total theoretical_cost_revolute theoretical_cost_prismatic
bi_rrt_star 1 1.15015 10000 10000 10000 0.6245 0.6245 0
bi_rrt_star 2 1.75021 10000 10000 10000 0.6245 0.6245 0
bi_rrt_star 3 2.36269 10000 10000 10000 0.6245 0.6245 0
bi_rrt_star 4 2.9828 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 5 3.65843 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 6 3.70511 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 7 4.33855 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 8 4.9323 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 9 5.5599 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 10 6.15522 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 11 6.21919 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 12 6.83867 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 13 6.89256 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 14 7.48136 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 15 8.05754 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 16 8.57695 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 17 8.98692 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 18 9.02331 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 19 9.37793 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 20 9.77746 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 21 10.1978 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 22 10.5475 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 23 10.9517 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 24 11.3019 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 25 11.7663 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 26 12.4701 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 27 12.8618 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 28 12.9077 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 29 13.0025 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 30 13.7538 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 31 14.0981 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 32 14.4748 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 33 14.532 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 34 14.9226 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 35 15.365 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 36 16.0787 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 37 16.4659 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 38 16.8709 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 39 17.004 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 40 17.3523 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 41 17.4473 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 42 17.8785 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 43 18.3178 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 44 18.7948 8.4293 8.39702 0.462269 0.6245 0.6245 0
bi_rrt_star 45 19.5143 8.4293 8.39702 0.462269 0.6245 0.6245 0
